Date,Close
38799.00,44.69
38798.00,45.13
38797.00,45.45
38796.00,46.45
38793.00,45.9
38792.00,45.3
38791.00,45.73
38790.00,45.69
38789.00,45.15
38786.00,44.71
38785.00,43.75
38784.00,44.14
38783.00,43.35
38782.00,45.1
38779.00,45.55
38778.00,46.86
38777.00,47.24
38776.00,46.41
38775.00,47.58
38772.00,47.11
38771.00,46.6
38770.00,46.09
38769.00,46.21
38765.00,45.73
38764.00,45.55
38763.00,44.82
38762.00,45.96
38761.00,44.4
38758.00,46.05
38757.00,45.59
38756.00,45.56
38755.00,45.34
38754.00,46.76
38751.00,45.65
38750.00,46.63
38749.00,47.5
38748.00,48.21
38747.00,47.86
38744.00,48.04
38743.00,47.18
